,0,1,2,3,4,5,6,7,8
0,0,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0
2,1,1,1,1,1,1,1,0,1
3,1,0,0,1,0,0,0,1,0
4,1,1,0,1,1,0,1,0,1
5,0,1,0,0,1,0,1,0,1
6,1,1,1,1,1,0,1,1,1
7,1,1,0,1,1,0,0,1,1
8,1,1,0,1,1,1,0,0,1
9,0,1,1,0,1,1,1,1,0
10,0,1,1,0,1,1,1,1,0
11,1,1,1,1,1,1,1,1,1
12,1,0,0,1,0,0,1,1,0
13,0,0,1,0,0,1,0,1,1
14,1,1,1,1,0,1,1,0,1
15,0,1,1,0,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1
18,0,0,1,0,0,1,1,1,1
19,1,1,1,1,1,1,0,1,1
20,1,1,1,1,1,1,0,1,1
21,1,1,0,0,1,0,0,0,1
22,1,1,1,1,1,1,1,1,0
23,1,1,0,1,1,0,1,1,1
24,0,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,0,1,0
26,0,0,1,0,0,1,1,1,1
27,1,1,1,1,0,1,0,0,0
28,1,0,0,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,0
30,0,0,1,0,0,1,1,0,0
31,1,1,1,1,1,1,1,0,1
32,0,1,0,0,1,0,1,0,1
33,1,1,0,1,1,1,0,0,1
34,1,0,1,1,0,1,1,1,1
35,1,1,1,1,1,1,1,0,1
36,1,0,1,1,0,1,1,0,0
37,1,0,1,1,0,1,1,1,1
38,1,1,1,1,1,1,1,1,1
39,0,1,0,1,1,0,0,0,1
40,1,1,1,1,1,1,1,1,1
41,0,1,1,0,1,1,1,1,1
42,0,1,1,0,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,0,1,1
45,1,1,1,1,1,1,0,1,1
46,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,0
48,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,0
50,1,0,1,1,0,1,1,0,1
51,1,0,0,1,0,0,0,0,1
52,0,0,1,1,0,1,0,1,1
53,1,0,1,1,0,1,1,1,1
54,1,1,0,1,1,0,0,1,1
55,1,1,1,1,1,1,1,1,1
56,1,1,0,1,1,0,1,1,1
57,1,1,1,1,1,1,1,1,1
58,1,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,0,1,1
60,1,1,1,1,1,1,1,1,1
61,0,1,0,0,1,0,1,1,1
62,1,0,0,1,0,0,1,1,1
63,1,0,0,1,0,0,1,1,1
64,1,0,0,1,0,0,1,0,0
65,1,0,1,1,0,1,1,1,1
66,1,1,1,1,1,1,1,1,1
67,1,1,1,1,1,1,0,1,1
68,1,0,1,1,1,1,0,1,1
69,1,1,1,1,1,1,1,0,0
70,1,1,1,1,1,1,1,1,1
71,1,1,0,1,1,0,1,1,0
72,1,0,0,1,1,0,0,1,0
73,1,1,1,1,1,1,1,1,1
74,1,0,1,1,1,1,0,1,0
75,1,1,0,1,1,0,1,1,1
76,0,1,1,0,0,1,1,1,0
77,0,1,1,0,1,1,1,1,1
78,0,0,1,0,0,1,1,1,1
79,0,0,1,0,0,1,1,1,1
80,0,0,1,0,0,1,1,1,1
81,0,0,1,0,0,1,1,1,1
82,0,0,1,0,0,1,1,1,1
83,0,0,1,0,0,1,1,1,1
84,0,0,1,0,0,1,1,1,1
85,0,0,1,0,0,1,1,1,1
86,0,0,1,0,0,1,1,1,1
87,0,0,1,0,0,1,1,1,1
88,0,0,1,0,0,1,1,1,1
89,0,0,1,0,0,1,1,1,1
90,0,0,1,0,0,1,1,1,1
91,0,0,1,0,0,1,1,1,1
92,0,0,1,0,0,1,1,1,1
93,0,0,1,0,0,1,1,1,1
94,0,0,1,0,0,1,1,1,1
95,0,0,1,0,0,1,1,1,1
96,0,0,1,0,0,1,1,1,1
97,0,0,1,0,0,1,1,1,1
98,0,0,0,0,0,0,1,1,1
99,0,0,1,0,0,1,1,1,1
100,0,0,1,0,0,1,1,1,1
101,0,0,1,0,0,1,1,1,1
102,0,0,1,0,0,1,1,1,1
103,0,0,1,0,0,1,1,1,1
104,0,0,1,0,0,1,1,1,1
105,0,0,1,0,0,1,1,1,1
106,0,0,1,0,0,1,1,1,1
107,0,0,1,0,0,1,1,1,1
108,0,0,1,0,0,1,1,1,1
109,0,0,0,0,0,0,1,1,1
110,0,0,0,0,0,0,1,1,1
111,0,0,1,0,0,1,1,1,1
112,0,0,1,0,0,1,1,1,1
113,0,0,1,0,0,1,0,1,1
114,0,0,1,0,0,1,1,1,1
115,0,0,1,0,0,1,1,1,1
116,0,0,1,0,0,1,1,1,1
117,0,0,1,0,0,1,1,1,1
118,0,0,1,0,0,1,1,1,1
119,0,0,1,0,0,1,1,1,1
120,0,0,1,0,0,1,1,1,1
121,0,0,1,0,0,1,1,1,1
122,0,0,1,0,0,1,1,1,1
123,0,0,1,0,0,1,1,1,1
124,0,0,1,0,0,1,1,1,1
125,0,0,1,0,0,1,1,1,1
126,0,0,1,0,0,1,1,1,0
127,0,0,1,0,0,1,1,1,0
128,0,0,1,0,0,1,1,0,0
129,0,0,1,0,0,1,1,1,0
130,0,1,1,0,1,1,1,1,1
131,0,0,1,0,0,1,1,1,0
132,0,0,1,0,0,1,0,1,0
133,0,0,1,0,0,1,0,1,0
134,0,0,1,0,0,1,1,1,1
135,0,0,1,0,0,1,1,1,0
136,0,1,1,0,1,1,1,1,0
137,0,0,1,0,0,1,1,1,0
138,0,0,1,0,0,1,1,1,0
139,0,0,1,0,0,1,1,1,0
140,0,0,1,0,0,1,1,1,0
